Column Name,forks,stars,watchers,dependants_count,no_of_dependencies,dependant_repos_count,lagging_dependencies_count
forks,-,0.9284049337972052,0.8316343055061667,0.6075723434323534,0.09089350634976247,0.5946588618392601,0.07393445563000917
stars,-,-,0.795082985758907,0.5933779978197817,0.09117983584333633,0.5597846098612927,0.07407780803358499
watchers,-,-,-,0.5183177085595054,0.08734715042144162,0.5220921393168072,0.07288185014819946
dependants_count,-,-,-,-,0.1339635447337055,0.78908688585464,0.12538621010197165
no_of_dependencies,-,-,-,-,-,0.1864535860567152,0.9920657622331146
dependant_repos_count,-,-,-,-,-,-,0.17684350900281492
lagging_dependencies_count,-,-,-,-,-,-,-
